Institution,Longitude,Latitude
Institute for Business and Technology,-121.96954099999999,37.368642
Interior Designers Institute,-117.86572199999999,33.641393
Toni & Guy Hairdressing Academy-Santa Monica,-118.49489799999999,34.017466
Irvine Valley College,-117.77753899999999,33.675381
ITT Technical Institute-National City,-117.10606899999999,32.661559000000004
ITT Technical Institute-San Dimas,-117.818401,34.102405
ITT Technical Institute-Orange,-117.89621000000001,33.779746
Bellus Academy-El Cajon,-116.94627,32.794072
John F. Kennedy University,-122.05476100000001,37.956616
American Jewish University,-118.471764,34.128099
Reedley College,-119.45993,36.605968
Life Pacific College,-117.829388,34.098704999999995
Argosy University-The Art Institute of California-San Diego,-117.155395,32.778278
University of La Verne,-117.77263400000001,34.10086
Laguna College of Art and Design,-117.77256399999999,33.561448
Lake Tahoe Community College,-119.972574,38.926797
Lancaster Beauty School,-118.147547,34.694914000000004
Laney College,-122.26243400000001,37.796205
Lassen Community College,-120.631169,40.431327
Life Chiropractic College West,-122.11761899999999,37.638099
Lincoln Law School of Sacramento,-121.464021,38.57216
Lincoln University,-122.269745,37.804788
Southern California Seminary,-116.90546100000002,32.799614
La Sierra University,-117.500054,33.910703999999996
Loma Linda University,-117.260605,34.051241
Long Beach City College,-118.135819,33.831741
Southern California University of Health Sciences,-117.983401,33.922965999999995
Los Angeles Community College District Office,-118.25806299999999,34.048775
Los Angeles Harbor College,-118.28186000000001,33.784201
Los Angeles Pierce College,-118.575071,34.183949
Los Angeles Southwest College,-118.304674,33.929586
Los Angeles Trade Technical College,-118.269447,34.031907000000004
Los Angeles Valley College,-118.421446,34.176406
The Master's University and Seminary,-118.518193,34.381755
Los Angeles City College,-118.292169,34.087301000000004
Los Angeles County College of Nursing and Allied Health,-118.21185200000001,34.062647
Los Angeles Mission College,-118.419087,34.314944
Los Medanos College,-121.86096699999999,38.006474
Los Rios Community College District Office,-121.41714499999999,38.579859
Argosy University-The Art Institute of California-San Francisco,-122.413417,37.780569
Loyola Marymount University,-118.41574399999999,33.97085
Lu Ross Academy,-119.293952,34.278034000000005
Lyle's College of Beauty,-119.023903,35.386525
Lyle's College of  Beauty,-119.773747,36.836251000000004
Lytles Redwood Empire Beauty College Inc,-122.75777,38.508385
MTI Business College Inc,-121.30844499999999,38.007884999999995
MTI College,-121.342568,38.661377
Brightwood College-Sacramento,-121.380453,38.644462
Brightwood College-San Diego,-117.133017,32.821707
Brightwood College-Vista,-117.22081599999999,33.17244
College of Marin,-122.549149,37.954896999999995
Marymount California University,-118.333371,33.734887
Mendocino College,-123.22880900000001,39.188989
Menlo College,-122.190797,37.453475
Merced College,-120.47646399999999,37.3353
Merritt College,-122.16733500000001,37.789088
Mills College,-122.182294,37.781425
MiraCosta College,-117.30260600000001,33.190483
Mission College,-121.980783,37.391935
Modern Beauty Academy,-119.181423,34.195384000000004
Brightwood College-Los Angeles-Van Nuys,-118.46856799999999,34.200812
Modesto Junior College,-121.009723,37.652042
Moler Barber College,-122.26535200000001,37.827075
Middlebury Institute of International Studies at Monterey,-121.897325,36.599736
Monterey Peninsula College,-121.88493100000001,36.590558
Moorpark College,-118.834528,34.301146
Mt San Antonio College,-117.84662900000001,34.047764
Mount Saint Mary's University,-118.482879,34.085315
Mt San Jacinto Community College District,-116.97006299999998,33.807364
Musicians Institute,-118.33758200000001,34.101265000000005
Napa Valley College,-122.274381,38.274081
National Holistic Institute,-122.287672,37.841898
National University,-117.243026,32.909894
Naval Postgraduate School,-121.874248,36.597159000000005
Newschool of Architecture and Design,-117.153305,32.71331
Newberry School of Beauty,-118.499693,34.256683
North Adrian's College of Beauty Inc,-120.99275300000001,37.677778
North Orange County Community College District,-117.945559,33.849957
North-West College-Pomona,-117.751227,34.062043
North-West College-West Covina,-117.949583,34.072071
North-West College-Pasadena,-118.13926599999999,34.146907
Notre Dame de Namur University,-122.284618,37.517501
Occidental College,-118.210783,34.126224
Oceanside College of Beauty,-117.36533899999999,33.178366
Ohlone College,-121.916339,37.52773
Orange Coast College,-117.911401,33.670171
Otis College of Art and Design,-118.416615,33.956607
Oxnard College,-119.157604,34.166104
Hope International University,-117.88573000000001,33.87616
Concorde Career College-San Diego,-117.102845,32.702814000000004
Palo Alto University,-122.18743700000002,37.382216
Pacific Oaks College,-118.151323,34.153382
Pacific School of Religion,-122.26333100000001,37.876599
Pacific States University,-118.29840800000001,34.061315
Pacific Union College,-122.440308,38.570584999999994
University of the Pacific,-121.312301,37.981424
Palo Verde College,-114.651698,33.661538
Palomar College,-117.18171799999999,33.15019
Paris Beauty College,-122.04396100000001,37.972753000000004
Pasadena City College,-118.118196,34.144552000000004
Pepperdine University,-118.707077,34.037786
Peralta Community College System Office,-122.26083700000001,37.792667
Pitzer College,-117.706675,34.104107
Platt College-San Diego,-117.063483,32.763729999999995
Point Loma Nazarene University,-117.25026499999998,32.718391
Pomona College,-117.71194399999999,34.098298
Porterville College,-119.01436799999999,36.049256
Professional Institute of Beauty,-118.039028,34.075561
Santa Ana College,-117.888384,33.759203
Pardee RAND Graduate School,-118.490655,34.00973
Shasta School of Cosmetology,-122.387248,40.597114000000005
University of Redlands,-117.163218,34.064218
College of the Redwoods,-124.19529299999999,40.698427
Salon Success Academy-Upland,-117.63178300000001,34.108247
Salon Success Academy-Corona,-117.53563799999999,33.847649
Rio Hondo College,-118.03332900000001,34.019878000000006
Riverside City College,-117.38054,33.971481
Argosy University-San Francisco Bay Area,-122.267523,37.781238
Rosemead Beauty School,-118.082793,34.080756
Dongguk University-Los Angeles,-118.289523,34.06597
Sacramento City College,-121.49113899999999,38.541096
Saddleback College,-117.66558400000001,33.553346000000005
Samuel Merritt University,-122.26633100000001,37.82029
San Diego Community College District-District Office,-117.12048,32.7763
San Diego City College,-117.151641,32.718855
Golf Academy of America-San Diego,-117.283394,33.12291
San Diego Mesa College,-117.16916499999999,32.803825
San Diego Miramar College,-117.120888,32.909546
San Diego State University,-117.071228,32.77525
University of San Diego,-117.188721,32.77142
San Francisco Art Institute,-122.417,37.803575
San Francisco Conservatory of Music,-122.42029199999999,37.775543
San Francisco State University,-122.477905,37.721345
San Francisco Theological Seminary,-122.56540700000001,37.969952
University of San Francisco,-122.45097700000001,37.775564
San Joaquin College of Law,-119.697657,36.82448
San Joaquin Delta College,-121.317226,37.994642999999996
San Joaquin Valley College-Visalia,-119.38498100000001,36.328049
William Jessup University,-121.29231200000001,38.819728000000005
San Jose-Evergreen Community College District,-121.89118,37.334851
San Jose City College,-121.926185,37.315827
San Jose State University,-121.88062099999999,37.336569
San Mateo County Community College District Office,-122.337603,37.531184
College of San Mateo,-122.334801,37.535698
Santa Barbara Business College-Bakersfield,-119.061264,35.359544
